filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1576,.001139128
10.c,16K,1676,.001154747
100.c,16K,1420,.001145243
101.c,16K,1608,.001032709
102.c,16K,1576,.000985534
103.c,16K,1572,.001167831
104.c,16K,1592,.001098671
105.c,16K,1728,.001132353
106.c,16K,1400,.001110886
107.c,16K,1724,.001073692
108.c,16K,1600,.001058840
109.c,16K,1616,.001054881
11.c,16K,1588,.001044110
110.c,16K,1524,.001094502
111.c,16K,12764,.804947751
112.c,16K,9016,.156602043
113.c,16K,5188,.505764546
114.c,16K,1292,.001286796
115.c,16K,1356,.001239891
116.c,16K,18648,.294518168
117.c,16K,1348,.001169215
118.c,16K,1344,.001325398
119.c,16K,1704,.007579139
12.c,16K,1596,.001322203
120.c,16K,1344,.001227471
121.c,16K,1332,.001231128
122.c,16K,1340,.001296418
123.c,16K,1356,.001454785
124.c,16K,1340,.001286209
125.c,16K,1336,.001348068
126.c,16K,1356,.001332311
127.c,16K,1328,.001484344
128.c,16K,1312,.001525353
129.c,16K,1356,.003887736
13.c,16K,1604,.001420556
130.c,17K,1392,.001406994
131.c,17K,1652,.001812863
132.c,16K,1748,.001642603
133.c,16K,1772,.001296192
134.c,16K,1620,1.351314976
135.c,16K,1336,.001133497
136.c,16K,8816,.005273990
137.c,16K,1336,.001252065
138.c,16K,1260,.001255723
139.c,16K,1296,.001294812
14.c,16K,1672,.001308913
140.c,16K,1312,.001306969
141.c,16K,1364,.001266620
142.c,16K,1296,.001306889
143.c,16K,1352,.001521474
144.c,16K,1300,.001425224
145.c,16K,1300,.001232996
146.c,16K,1352,.001527133
147.c,16K,1352,.001329280
148.c,16K,1412,.001575795
149.c,16K,1424,.001378827
15.c,16K,1716,.001290685
150.c,16K,1328,.001328166
151.c,16K,1684,.001238347
152.c,16K,1672,.001361275
153.c,16K,1644,.001750420
154.c,16K,1444,.001352180
155.c,16K,1312,.001300487
156.c,16K,1344,.001400498
157.c,16K,1544,.001339622
158.c,16K,1368,.001411773
159.c,16K,1444,.001394623
16.c,16K,1716,.001307711
160.c,16K,1312,.001334036
161.c,16K,1416,.280308389
162.c,16K,1412,.001636512
163.c,16K,1312,.001302588
164.c,16K,1548,.001524157
165.c,16K,1416,.001421145
166.c,16K,1488,.001412706
167.c,16K,1400,.001479810
168.c,16K,1420,.001623526
169.c,16K,1396,.001482939
17.c,16K,1572,.001457152
170.c,16K,1348,.001558768
171.c,16K,1312,.001596439
172.c,16K,1420,.001427088
173.c,16K,1356,.008313492
174.c,16K,1424,.001483010
175.c,16K,1352,.001458348
176.c,16K,1348,.001333560
177.c,16K,4900,.002882664
178.c,16K,1420,.001420908
179.c,16K,1312,.001399819
18.c,16K,1652,.001407121
180.c,16K,1344,.001601394
181.c,16K,4092,.002773180
182.c,16K,13396,.037728345
183.c,16K,8952,.044980893
184.c,16K,8856,.005977715
185.c,16K,1348,.001516406
186.c,16K,1428,.001357972
187.c,16K,1424,.001433187
188.c,16K,4896,.003326097
189.c,16K,1492,.001809523
19.c,16K,1580,.001577407
190.c,16K,1492,.001319374
191.c,16K,20836,.014617411
192.c,16K,1296,.001418323
193.c,16K,1336,.001519928
194.c,16K,1332,.001454640
195.c,17K,9180,.027828350
196.c,16K,1416,.001324275
197.c,16K,5548,.004397133
198.c,16K,5244,.022226984
199.c,16K,4844,.022949830
2.c,16K,1672,.001271989
20.c,16K,1724,.001303451
200.c,16K,1652,.002558443
201.c,16K,3364,.007575515
202.c,16K,1412,.001234140
203.c,17K,2072,.012415795
204.c,16K,1940,.001456417
205.c,16K,1296,.001618384
206.c,16K,1564,.002108494
207.c,16K,1348,.001299632
208.c,16K,1676,.002713119
209.c,16K,1484,.001367540
21.c,16K,1672,.001283061
210.c,16K,1292,.001301644
211.c,16K,1296,.001254038
212.c,16K,1336,.001323889
213.c,16K,1352,.003130938
214.c,16K,1296,.001374818
215.c,16K,1352,.003633013
216.c,16K,1360,.002434322
217.c,16K,1348,.003352291
218.c,16K,1356,.001845846
219.c,16K,1348,.001952529
22.c,16K,1592,.001280147
220.c,16K,1360,.002361280
221.c,16K,1428,.002817440
222.c,16K,1300,.001663285
223.c,16K,1340,.001429935
224.c,16K,1364,.007181850
225.c,16K,1296,.003303045
226.c,16K,1344,.002914211
227.c,16K,1352,.002064085
228.c,16K,1620,.001987338
229.c,16K,1296,.004562505
23.c,16K,1652,.001357065
230.c,16K,1344,.010579313
231.c,16K,1356,.003678684
232.c,16K,1336,.001921485
233.c,16K,1344,.003443606
234.c,16K,1344,.001294661
