filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1408,.009681742
10.c,16K,1408,.015563392
100.c,16K,1280,.009159747
101.c,16K,1408,.010113324
102.c,16K,1408,.009588176
103.c,16K,1408,.009774640
104.c,16K,1408,.010149691
105.c,16K,1408,.009911103
106.c,16K,1280,.010128357
107.c,16K,1408,.009963242
108.c,16K,1408,.009623037
109.c,16K,1408,.009726540
11.c,16K,1408,.009867811
110.c,16K,1408,.010012112
111.c,16K,12800,1.386878344
112.c,16K,8960,.392155348
113.c,16K,5120,.816432390
114.c,16K,1152,.009878742
115.c,16K,1152,.010285824
116.c,16K,18816,.413281699
117.c,16K,1152,.009884424
118.c,16K,1152,.009759650
119.c,16K,1536,.016784816
12.c,16K,1408,.009928913
120.c,16K,1152,.009722644
121.c,16K,1152,.009902836
122.c,16K,1152,.009880970
123.c,16K,1152,.009638750
124.c,16K,1152,.009697747
125.c,16K,1152,.010960569
126.c,16K,1152,.010038406
127.c,16K,1152,.009754828
128.c,16K,1152,.011212075
129.c,16K,1152,.012787564
13.c,16K,1408,.009924475
130.c,17K,1280,.010966336
131.c,17K,1536,.010351554
132.c,16K,1536,.009528289
133.c,16K,1664,.010140440
134.c,16K,1408,2.488746131
135.c,16K,1152,.010788117
136.c,16K,8960,.019483674
137.c,16K,1152,.009254729
138.c,16K,1152,.009327693
139.c,16K,1152,.009647294
14.c,16K,1408,.009434375
140.c,16K,1152,.009668978
141.c,16K,1152,.009361481
142.c,16K,1152,.009890547
143.c,16K,1152,.009684020
144.c,16K,1152,.009677654
145.c,16K,1152,.009967220
146.c,16K,1152,.009308152
147.c,16K,1152,.009632817
148.c,16K,1280,.009288229
149.c,16K,1152,.009659545
15.c,16K,1408,.009551204
150.c,16K,1152,.009781590
151.c,16K,1408,.009655221
152.c,16K,1408,.009424034
153.c,16K,1536,.009601173
154.c,16K,1280,.009988839
155.c,16K,1152,.009055259
156.c,16K,1152,.009658319
157.c,16K,1408,.009307180
158.c,16K,1152,.009826076
159.c,16K,1280,.009880064
16.c,16K,1408,.009708348
160.c,16K,1152,.009151654
161.c,16K,1152,.218116232
162.c,16K,1280,.010325350
163.c,16K,1152,.010083367
164.c,16K,1536,.010381924
165.c,16K,1280,.010208937
166.c,16K,1280,.009588191
167.c,16K,1280,.009964924
168.c,16K,1280,.009536582
169.c,16K,1280,.009367736
17.c,16K,1408,.009723382
170.c,16K,1152,.009934785
171.c,16K,1152,.009719799
172.c,16K,1280,.009715360
173.c,16K,1152,.021826495
174.c,16K,1280,.009880828
175.c,16K,1152,.009825649
176.c,16K,1152,.009621132
177.c,16K,4992,.014108888
178.c,16K,1152,.010030499
179.c,16K,1152,.009740193
18.c,16K,1408,.009315362
180.c,16K,1152,.009664464
181.c,16K,4224,.013113469
182.c,16K,13184,.044780130
183.c,16K,8996,.062522280
184.c,16K,8960,.022388171
185.c,16K,1152,.009914629
186.c,16K,1280,.010066043
187.c,16K,1280,.010176137
188.c,16K,4992,.014425196
189.c,16K,1280,.009568367
19.c,16K,1408,.010022427
190.c,16K,1280,.009560285
191.c,16K,20736,.033832568
192.c,16K,1152,.009663632
193.c,16K,1152,.009818611
194.c,16K,1152,.010557420
195.c,17K,9088,.035204631
196.c,16K,1152,.010946657
197.c,16K,5376,.016514006
198.c,16K,5120,.025561952
199.c,16K,4992,.028304891
2.c,16K,1408,.009908454
20.c,16K,1408,.010470687
200.c,16K,1408,.010952003
201.c,16K,3328,.017329053
202.c,16K,1280,.009630991
203.c,17K,2048,.020502012
204.c,16K,1920,.009547209
205.c,16K,1152,.010181958
206.c,16K,1408,.009847550
207.c,16K,1152,.009805748
208.c,16K,1408,.011551015
209.c,16K,1280,.010178925
21.c,16K,1408,.009650166
210.c,16K,1152,.009690284
211.c,16K,1152,.009683878
212.c,16K,1152,.009366511
213.c,16K,1152,.011086120
214.c,16K,1152,.009156966
215.c,16K,1152,.012357670
216.c,16K,1152,.011004195
217.c,16K,1152,.011720303
218.c,16K,1152,.010510694
219.c,16K,1152,.010204584
22.c,16K,1408,.009679331
220.c,16K,1152,.010995403
221.c,16K,1152,.012004467
222.c,16K,1152,.010133893
223.c,16K,1152,.008964469
224.c,16K,1152,.013905381
225.c,16K,1152,.011768791
226.c,16K,1152,.013099928
227.c,16K,1152,.010800324
228.c,16K,1408,.010913678
229.c,16K,1152,.013558533
23.c,16K,1408,.009647752
230.c,16K,1152,.017399901
231.c,16K,1152,.012239138
232.c,16K,1152,.009986798
233.c,16K,1152,.015755988
234.c,16K,1152,.009582071
235.c,16K,1152,.014647162
236.c,16K,1152,.012088122
237.c,16K,1152,.012411904
238.c,16K,1152,.011206236
239.c,16K,1152,.010692018
24.c,16K,1408,.010083398
240.c,16K,1152,.028327408
241.c,16K,1152,.017856157
242.c,16K,1152,.011650282
243.c,16K,1152,.009786696
244.c,16K,1152,.011710051
245.c,16K,1152,.010488209
246.c,16K,1152,.010319728
247.c,16K,1152,.011486515
248.c,16K,1152,.011201760
249.c,16K,1152,.025836716
25.c,16K,1408,.009109251
250.c,16K,1152,.009319692
251.c,16K,1408,.011911972
252.c,16K,1152,.009573390
253.c,16K,1152,.037498544
254.c,16K,1152,.015190586
255.c,16K,1152,.010347591
256.c,16K,1152,.012932915
257.c,16K,1152,.010833480
258.c,16K,1152,.013501211
259.c,16K,1152,.014269651
26.c,16K,1408,.009611091
260.c,16K,1152,.016290530
261.c,16K,1152,.016704502
262.c,16K,1152,.016065215
263.c,16K,1152,.009516095
264.c,16K,1152,.009299363
265.c,16K,1152,.050216994
266.c,16K,1152,.017380982
267.c,16K,1152,.011861745
268.c,16K,1152,.019425954
269.c,16K,1152,.012275565
27.c,16K,1408,.010198028
270.c,16K,1152,.012701817
271.c,16K,1152,.012794455
272.c,16K,1152,.013986877
273.c,16K,1152,.013113219
274.c,16K,1152,.011972830
275.c,16K,1152,.011091456
276.c,16K,1152,.010618758
277.c,16K,1152,.023100876
278.c,16K,1152,.014628922
279.c,16K,1152,.019472608
28.c,16K,1408,.009753307
280.c,16K,1152,.009576591
281.c,16K,1152,.013802726
282.c,16K,1152,.014896324
283.c,16K,1152,.011641317
284.c,16K,1152,.009919043
285.c,16K,1152,.013919047
286.c,16K,1152,.028139371
287.c,16K,1152,.009078878
288.c,16K,1152,.013029682
289.c,16K,1152,.077580558
29.c,16K,1408,.009884359
290.c,16K,1152,.013859233
291.c,16K,1152,.013249168
292.c,16K,1152,.014049374
293.c,16K,1152,.012648377
294.c,16K,1152,.012037715
295.c,16K,1152,.012552512
296.c,16K,1152,.016462513
297.c,16K,1152,.012056931
298.c,16K,1152,.072787270
299.c,16K,1152,.009048195
3.c,16K,1408,.011139789
30.c,16K,1408,.010048139
300.c,16K,1152,.009365011
31.c,16K,1408,.009664016
32.c,16K,1920,.009976832
33.c,16K,1408,.009694755
34.c,16K,1408,.009475212
35.c,16K,1408,.010019407
36.c,16K,1408,.009582475
37.c,16K,1408,.009714986
38.c,16K,1408,.009768009
39.c,16K,1408,.010154488
4.c,16K,1408,.017144668
40.c,16K,1408,.009412963
41.c,16K,1408,.009770519
42.c,16K,1408,.009717589
43.c,16K,1408,.009710007
44.c,16K,1408,.009709667
45.c,16K,1536,.009697344
46.c,16K,1408,.009799434
47.c,16K,1408,.010007411
48.c,16K,1408,.009581122
49.c,16K,1408,.009467589
5.c,16K,1536,.016952720
50.c,16K,1408,.009960912
51.c,16K,1408,.009942977
52.c,16K,1408,.009391388
53.c,16K,1408,.009853424
54.c,16K,2048,.009638500
55.c,16K,1408,.009964321
56.c,16K,1408,.010130296
57.c,16K,1408,.009680685
58.c,16K,1408,.009856669
59.c,16K,1408,.011128232
6.c,16K,1536,.016840688
60.c,16K,1408,.009482190
61.c,16K,1408,.009494971
62.c,16K,1408,.010070603
63.c,16K,1408,.009861673
64.c,16K,1408,.009983609
65.c,17K,1408,.010234103
66.c,16K,1408,.009774353
67.c,16K,1408,.010738012
68.c,16K,1408,.009923071
69.c,16K,1408,.009436863
7.c,16K,1536,.017334386
70.c,16K,1408,.010209445
71.c,16K,1280,.009624878
72.c,16K,1408,.009730639
73.c,16K,1408,.009808146
74.c,16K,1408,.010265254
75.c,16K,1408,.010191731
76.c,16K,1408,.009611048
77.c,16K,1408,.009963105
78.c,16K,1408,.009710573
79.c,16K,1408,.009795096
8.c,16K,1408,.023473555
80.c,16K,1408,.009255613
81.c,16K,1152,.009172185
82.c,16K,1408,.009576007
83.c,16K,1408,.009429826
84.c,16K,1408,.008999193
85.c,16K,1280,.009531285
86.c,16K,1408,.009485841
