filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1672,.001134049
10.c,16K,1592,.001345063
100.c,16K,1424,.001208323
101.c,16K,1648,.001040452
102.c,16K,1716,.001017064
103.c,16K,1520,.001229924
104.c,16K,1652,.001091714
105.c,16K,1644,.001074533
106.c,16K,1424,.001004409
107.c,16K,1576,.001081284
108.c,16K,1600,.001041819
109.c,16K,1600,.001167954
11.c,16K,1584,.001051614
110.c,16K,1576,.001016783
111.c,16K,12768,.809946659
112.c,16K,9024,.153616796
113.c,16K,5188,.482904052
114.c,16K,1336,.001074720
115.c,16K,1292,.001085185
116.c,16K,18648,.241198618
117.c,16K,1312,.001069980
118.c,16K,1328,.001087937
119.c,16K,1696,.006069919
12.c,16K,1740,.001025530
120.c,16K,1296,.001035690
121.c,16K,1292,.001087589
122.c,16K,1420,.001070834
123.c,16K,1324,.001158424
124.c,16K,1336,.001038151
125.c,16K,1292,.000964571
126.c,16K,1348,.000968819
127.c,16K,1360,.001031867
128.c,16K,1340,.001065931
129.c,16K,1292,.002970851
13.c,16K,1620,.001082390
130.c,17K,1336,.000995170
131.c,17K,1736,.001458195
132.c,16K,1700,.001193505
133.c,16K,1768,.001142900
134.c,16K,1556,1.225706604
135.c,16K,1260,.001075632
136.c,16K,8816,.004452188
137.c,16K,1348,.001090097
138.c,16K,1296,.001066123
139.c,16K,1352,.001066869
14.c,16K,1604,.001072303
140.c,16K,1292,.000994027
141.c,16K,1360,.001013879
142.c,16K,1296,.001040158
143.c,16K,1296,.001378496
144.c,16K,1340,.001019074
145.c,16K,1264,.001126747
146.c,16K,1356,.001343825
147.c,16K,1264,.001066881
148.c,16K,1392,.001002791
149.c,16K,1356,.001163551
15.c,16K,1612,.001075638
150.c,16K,1348,.001068337
151.c,16K,1604,.001073528
152.c,16K,1604,.001098596
153.c,16K,1636,.001138531
154.c,16K,1484,.000988181
155.c,16K,1420,.001022521
156.c,16K,1364,.001159163
157.c,16K,1596,.001060294
158.c,16K,1316,.001086848
159.c,16K,1440,.001036419
16.c,16K,1620,.001053818
160.c,16K,1312,.001084670
161.c,16K,1356,.254540053
162.c,16K,1412,.001086911
163.c,16K,1340,.001104195
164.c,16K,1616,.001273801
165.c,16K,1488,.001033467
166.c,16K,1420,.001082074
167.c,16K,1424,.001008216
168.c,16K,1456,.001026341
169.c,16K,1452,.001193236
17.c,16K,1564,.001119387
170.c,16K,1344,.001171814
171.c,16K,1344,.000979061
172.c,16K,1412,.001108287
173.c,16K,1336,.006020895
174.c,16K,1416,.001081937
175.c,16K,1312,.001020023
176.c,16K,1356,.001094215
177.c,16K,4900,.002023740
178.c,16K,1312,.001034304
179.c,16K,1316,.001048202
18.c,16K,1596,.001012886
180.c,16K,1348,.001099596
181.c,16K,4104,.001964679
182.c,16K,13456,.031909705
183.c,16K,8936,.037439968
184.c,16K,8856,.005163667
185.c,16K,1316,.001315491
186.c,16K,1496,.001249661
187.c,16K,1412,.001011859
188.c,16K,4896,.002022758
189.c,16K,1392,.001002175
19.c,16K,1616,.001003682
190.c,16K,1448,.001082741
191.c,16K,20840,.010681867
192.c,16K,1352,.000995590
193.c,16K,1296,.001106051
194.c,16K,1292,.001060394
195.c,17K,9192,.022436925
196.c,16K,1312,.000984516
197.c,16K,5672,.003805606
198.c,16K,5224,.016779204
199.c,16K,4872,.020067628
2.c,16K,1672,.001116493
20.c,16K,1612,.001098979
200.c,16K,1612,.002187514
201.c,16K,3372,.006462528
202.c,16K,1488,.001022017
203.c,17K,2076,.010095329
204.c,16K,1868,.001262444
205.c,16K,1348,.001300099
206.c,16K,1568,.001475074
207.c,16K,1348,.001106814
208.c,16K,1592,.002107781
209.c,16K,1416,.001088926
21.c,16K,1572,.000981087
210.c,16K,1312,.001002172
211.c,16K,1344,.001089835
212.c,16K,1332,.001067568
213.c,16K,1420,.002528806
214.c,16K,1316,.001062102
215.c,16K,1316,.002828836
216.c,16K,1296,.002185989
217.c,16K,1340,.002632891
218.c,16K,1360,.001526334
219.c,16K,1272,.001646895
22.c,16K,1672,.001106011
220.c,16K,1352,.001863456
221.c,16K,1340,.002245328
222.c,16K,1368,.001314976
223.c,16K,1360,.001024269
224.c,16K,1316,.005682899
225.c,16K,1336,.002587583
226.c,16K,1336,.002424847
227.c,16K,1360,.001679170
228.c,16K,1596,.001645625
229.c,16K,1264,.003813689
23.c,16K,1716,.001083635
230.c,16K,1348,.008219621
231.c,16K,1320,.002993110
232.c,16K,1336,.001551199
233.c,16K,1340,.002543463
234.c,16K,1300,.001112719
235.c,16K,1424,.005703157
236.c,16K,1420,.002270697
