filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1408,.010641814
10.c,16K,1408,.015042563
100.c,16K,1280,.009692603
101.c,16K,1408,.010634894
102.c,16K,1408,.009448106
103.c,16K,1408,.008832986
104.c,16K,1408,.009849042
105.c,16K,1408,.009951499
106.c,16K,1280,.009506608
107.c,16K,1408,.010091656
108.c,16K,1408,.009767304
109.c,16K,1408,.009918979
11.c,16K,1408,.009489016
110.c,16K,1408,.010195449
111.c,16K,12800,1.314034631
112.c,16K,8960,.393435676
113.c,16K,5120,.815501253
114.c,16K,1152,.009630725
115.c,16K,1152,.009845766
116.c,16K,18816,.545807670
117.c,16K,1152,.009218105
118.c,16K,1152,.009064567
119.c,16K,1536,.016637860
12.c,16K,1408,.011176335
120.c,16K,1152,.009903229
121.c,16K,1152,.009376903
122.c,16K,1152,.008942914
123.c,16K,1152,.009281832
124.c,16K,1152,.009536266
125.c,16K,1152,.010182750
126.c,16K,1152,.009797021
127.c,16K,1152,.009077080
128.c,16K,1152,.009067069
129.c,16K,1152,.012538393
13.c,16K,1408,.010052775
130.c,17K,1280,.009395213
131.c,17K,1536,.010366459
132.c,16K,1536,.009181534
133.c,16K,1664,.009752928
134.c,16K,1408,2.597234193
135.c,16K,1152,.009485598
136.c,16K,8960,.019848701
137.c,16K,1152,.009515221
138.c,16K,1152,.013985501
139.c,16K,1152,.010572313
14.c,16K,1408,.009739791
140.c,16K,1152,.009228944
141.c,16K,1152,.010239393
142.c,16K,1152,.009963166
143.c,16K,1152,.009544470
144.c,16K,1152,.009594747
145.c,16K,1152,.009467065
146.c,16K,1152,.009693780
147.c,16K,1152,.009513037
148.c,16K,1280,.009662393
149.c,16K,1152,.009504037
15.c,16K,1408,.009676530
150.c,16K,1152,.009237928
151.c,16K,1408,.010089292
152.c,16K,1408,.009512365
153.c,16K,1536,.009580472
154.c,16K,1280,.011149935
155.c,16K,1152,.009480645
156.c,16K,1152,.010097962
157.c,16K,1408,.009952745
158.c,16K,1152,.010126055
159.c,16K,1280,.010136610
16.c,16K,1408,.009555582
160.c,16K,1152,.009874873
161.c,16K,1152,.218718065
162.c,16K,1280,.009843597
163.c,16K,1152,.009554269
164.c,16K,1536,.009696075
165.c,16K,1280,.009225769
166.c,16K,1280,.009777439
167.c,16K,1280,.009423183
168.c,16K,1280,.009628736
169.c,16K,1280,.009673197
17.c,16K,1408,.009500455
170.c,16K,1152,.010470005
171.c,16K,1152,.009787322
172.c,16K,1280,.009944874
173.c,16K,1152,.020972767
174.c,16K,1280,.009027761
175.c,16K,1152,.009371753
176.c,16K,1152,.009106019
177.c,16K,4992,.013273554
178.c,16K,1152,.008389368
179.c,16K,1152,.009744591
18.c,16K,1408,.009521860
180.c,16K,1152,.009492828
181.c,16K,4224,.013631538
182.c,16K,13184,.044763156
183.c,16K,8996,.066062377
184.c,16K,8960,.022600637
185.c,16K,1152,.009266806
186.c,16K,1280,.009974308
187.c,16K,1280,.009274667
