filename,exec_size,max_mem_kb,avg_time_sec
290.c,16K,1536,.009945577
291.c,16K,1536,.010059297
292.c,16K,1536,.015163661
293.c,16K,1536,.010068158
294.c,16K,1536,.010515131
295.c,16K,1536,.009873387
296.c,16K,1536,.010035449
297.c,16K,1536,.010867656
298.c,16K,1536,.010456934
299.c,16K,1536,.010567092
3.c,16K,1664,.012030578
30.c,16K,1792,.010956060
300.c,16K,1536,.010870027
31.c,16K,1792,.010682464
32.c,16K,1792,.010771691
33.c,16K,1792,.010889459
34.c,16K,1792,.010238344
35.c,16K,1792,.010663794
36.c,16K,1664,.010151606
37.c,16K,1664,.009966348
38.c,16K,1792,.010507402
39.c,16K,1792,.010889833
4.c,16K,1792,.017918029
40.c,16K,1792,.010580116
41.c,16K,1792,.010247563
42.c,16K,1792,.010595746
43.c,16K,1792,.010080561
44.c,16K,1792,.010515755
45.c,16K,1920,.010838378
46.c,16K,1664,.010614107
47.c,16K,1792,.011126211
48.c,16K,1792,.010593393
49.c,16K,1792,.010525215
5.c,16K,1792,.018136610
50.c,16K,1792,.010281995
51.c,16K,1792,.010633037
52.c,16K,1792,.010490791
53.c,16K,1792,.010351818
54.c,16K,1920,.010707606
55.c,16K,1792,.010404427
56.c,16K,1792,.010266408
57.c,16K,1792,.010229737
58.c,16K,1792,.010512038
59.c,16K,1792,.011721390
6.c,16K,1792,.018134945
60.c,16K,1792,.010881388
61.c,16K,1792,.010525042
62.c,16K,1792,.010474412
63.c,16K,1792,.010596297
64.c,16K,1792,.010381124
65.c,17K,1792,.010732586
66.c,16K,1792,.010441909
67.c,16K,1792,.011170375
68.c,16K,1792,-.050472166
69.c,16K,1792,.010282363
7.c,16K,1792,.017936902
70.c,16K,1792,.010439755
71.c,16K,1536,.011178466
72.c,16K,1792,.010631638
73.c,16K,1792,.010163367
74.c,16K,1664,.010264951
75.c,16K,1792,.009922680
76.c,16K,1792,.008767670
77.c,16K,1792,.009613848
78.c,16K,1792,.008850463
79.c,16K,1792,.009317256
8.c,16K,1792,.021947030
80.c,16K,1792,.009006241
81.c,16K,1536,.009483329
82.c,16K,1792,.009814854
83.c,16K,1792,.010257215
84.c,16K,1792,.010574133
85.c,16K,1536,.010920823
86.c,16K,1792,.010922325
87.c,16K,1792,.010743102
88.c,16K,1792,.010741665
89.c,16K,1536,.010216038
9.c,17K,1664,.018616268
90.c,16K,1792,.011187860
91.c,16K,1792,.010450254
92.c,16K,1792,.010747355
93.c,16K,1792,.010566576
94.c,16K,1664,.010413103
95.c,16K,1536,.010587429
96.c,16K,1792,.010441172
97.c,16K,1792,.010556102
98.c,16K,1792,.010543315
99.c,,,
