filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1604,.001269532
10.c,16K,1652,.001102686
100.c,16K,1404,.001006961
101.c,16K,1576,.001084556
102.c,16K,1596,.001056675
103.c,16K,1604,.000983231
104.c,16K,1620,.001035702
105.c,16K,1724,.001138121
106.c,16K,1420,.001176327
107.c,16K,1616,.001083862
108.c,16K,1612,.001024840
109.c,16K,1592,.001078704
11.c,16K,1716,.001095464
110.c,16K,1604,.001080946
111.c,16K,12792,.793033729
112.c,16K,9024,.154753760
113.c,16K,5248,.491038564
114.c,16K,1292,.001102607
115.c,16K,1352,.001047796
116.c,16K,18708,.237839713
117.c,16K,1308,.001092743
118.c,16K,1352,.001095795
119.c,16K,1692,.006178198
12.c,16K,1724,.000998691
120.c,16K,1340,.000952027
121.c,16K,1292,.001030252
122.c,16K,1296,.001037714
123.c,16K,1292,.001119098
124.c,16K,1300,.000988461
125.c,16K,1356,.001003901
126.c,16K,1292,.001030446
127.c,16K,1348,.001055381
128.c,16K,1332,.001014622
129.c,16K,1292,.003024928
13.c,16K,1652,.001088194
130.c,17K,1304,.001049572
131.c,17K,1728,.001563644
132.c,16K,1688,.001140701
133.c,16K,1748,.001119656
134.c,16K,1564,1.259133834
135.c,16K,1312,.001151713
136.c,16K,8804,.004931918
137.c,16K,1352,.001201728
138.c,16K,1352,.001347929
139.c,16K,1344,.001311989
14.c,16K,1616,.001432561
140.c,16K,1260,.001339409
141.c,16K,1348,.001305655
142.c,16K,1344,.001297642
143.c,16K,1264,.001608683
144.c,16K,1340,.001354813
145.c,16K,1316,.001326832
146.c,16K,1356,.001203152
147.c,16K,1356,.001353211
148.c,16K,1420,.001330087
149.c,16K,1268,.001477498
15.c,16K,1668,.001377062
150.c,16K,1260,.001299617
151.c,16K,1740,.001391799
152.c,16K,1600,.001368405
153.c,16K,1696,.001555546
154.c,16K,1488,.001367426
155.c,16K,1424,.001241456
156.c,16K,1424,.001385003
157.c,16K,1596,.001354037
158.c,16K,1364,.001402008
159.c,16K,1488,.001352379
16.c,16K,1596,.001371095
160.c,16K,1344,.001401565
161.c,16K,1348,.279297915
162.c,16K,1492,.001253148
163.c,16K,1420,.001520417
164.c,16K,1572,.001370682
165.c,16K,1392,.001192090
166.c,16K,1444,.001269197
167.c,16K,1412,.001251239
168.c,16K,1456,.001298044
169.c,16K,1448,.001207990
17.c,16K,1724,.001312622
170.c,16K,1344,.001228011
171.c,16K,1332,.001322146
172.c,16K,1404,.001311420
173.c,16K,1292,.007690644
174.c,16K,1416,.001490293
175.c,16K,1348,.001287235
176.c,16K,1360,.001266756
177.c,16K,4896,.002540368
178.c,16K,1364,.001293099
179.c,16K,1328,.001270578
18.c,16K,1592,.001323191
180.c,16K,1348,.001337428
181.c,16K,3996,.002269581
182.c,16K,13392,.038460172
183.c,16K,8840,.045689643
184.c,16K,8860,.005848517
185.c,16K,1340,.001430219
186.c,16K,1496,.001245218
187.c,16K,1448,.001354029
