filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1792,.009614134
10.c,16K,1792,.017214060
100.c,16K,1536,.010051372
101.c,16K,1792,.009880749
102.c,16K,1792,.009460445
103.c,16K,1792,.011219731
104.c,16K,1792,.010155104
105.c,16K,1792,.009898516
106.c,16K,1536,.010490773
107.c,16K,1792,.010076305
108.c,16K,1792,.010123454
109.c,16K,1792,.009835214
11.c,16K,1792,.010155999
110.c,16K,1792,.010253689
111.c,16K,13056,1.355600937
112.c,16K,9344,.322816187
113.c,16K,5376,.940650458
114.c,16K,1536,.010884630
115.c,16K,1536,.010100033
116.c,16K,19072,.553863240
117.c,16K,1536,.010477530
118.c,16K,1536,.010372283
119.c,16K,1792,.013650668
12.c,16K,1792,.010712416
120.c,16K,1536,.010375815
121.c,16K,1536,.010914353
122.c,,,
123.c,16K,1536,.010315498
124.c,16K,1536,.009772555
125.c,16K,1536,.010288400
126.c,16K,1536,.010483103
127.c,16K,1536,.010873670
128.c,16K,1536,.010698995
129.c,16K,1536,.015146393
13.c,16K,1792,.010403567
130.c,17K,1664,.010676415
131.c,17K,1920,.011248307
132.c,16K,1920,.010212941
133.c,16K,2048,.010216935
134.c,16K,1792,2.055904243
135.c,16K,9216,.019214471
136.c,16K,9216,.020384236
137.c,16K,1536,.008673541
138.c,16K,1536,.009610621
139.c,16K,1536,.009769201
14.c,16K,1792,.010351374
140.c,16K,1536,.009474706
141.c,16K,1536,.009766459
142.c,16K,1536,.008356273
143.c,16K,1536,.009504645
144.c,16K,1536,.009369945
145.c,16K,1536,.009304743
146.c,16K,1536,.009263256
147.c,16K,1536,.009225544
148.c,16K,1536,.009961964
149.c,16K,1536,.009725129
15.c,16K,1792,.009752425
150.c,16K,1536,.009880565
151.c,16K,1792,.009739435
152.c,16K,1792,.011603697
153.c,16K,1920,.009958505
154.c,16K,1536,.010471467
155.c,16K,1536,.010879083
156.c,16K,1536,.010185487
157.c,16K,1664,.009561307
158.c,16K,1792,.011306224
159.c,16K,1536,.010692091
16.c,16K,1792,.009977934
160.c,16K,1536,.010244792
161.c,16K,1408,.225709584
162.c,17K,1536,.010637112
163.c,16K,1536,.010892519
164.c,16K,1792,.010108446
165.c,16K,1536,.009985595
166.c,16K,1536,.009400950
167.c,16K,1536,.010255658
168.c,16K,1536,.011002611
169.c,17K,1536,.010657104
17.c,16K,1792,.010396045
170.c,16K,1536,.010096362
171.c,16K,1536,.010560987
172.c,16K,1664,.010965788
173.c,16K,1536,.010677818
174.c,16K,1536,.010196584
175.c,16K,1536,.009825988
176.c,16K,1536,.009636586
177.c,16K,5248,.014251491
178.c,16K,1536,.010190517
179.c,16K,1536,.010575650
18.c,16K,1792,.009955551
180.c,16K,1536,.009553166
181.c,16K,4608,.013245951
182.c,17K,13440,.044965527
183.c,16K,9396,.063934687
184.c,16K,9344,.021137827
185.c,16K,1536,.010212377
186.c,16K,1536,.011181100
187.c,16K,1536,.010000481
188.c,16K,5376,.014852333
189.c,16K,1664,.010553177
19.c,16K,1792,.010570493
190.c,16K,1536,.010455867
191.c,16K,20992,.034140771
192.c,16K,1536,.009967662
193.c,16K,1536,.010157495
194.c,16K,1536,.009964454
195.c,17K,9344,.036335905
196.c,16K,1536,.011547353
197.c,16K,5760,.016194896
198.c,16K,5376,.025859294
199.c,16K,5376,.028342869
2.c,16K,1792,.009939889
20.c,16K,1792,.010308006
200.c,16K,1792,.011326321
201.c,16K,3584,.017607512
202.c,16K,1536,.010195164
203.c,17K,2432,.018923457
204.c,16K,1792,.011507105
205.c,16K,1536,.010216823
206.c,16K,1792,.010448055
207.c,16K,1536,.009567875
208.c,16K,1792,.010965545
209.c,16K,1536,.010047042
21.c,16K,1664,.009995142
210.c,16K,1536,.009803746
211.c,16K,1536,.009989206
212.c,16K,1536,.011058583
213.c,16K,1536,.010265032
214.c,16K,1536,.009616677
215.c,16K,1408,.010152607
216.c,16K,1536,.009735011
217.c,16K,1536,.009542320
218.c,16K,1536,.010004817
219.c,16K,1536,.010957140
22.c,16K,1792,.010427966
220.c,16K,1536,.010380208
221.c,16K,1536,.010502609
222.c,16K,1536,.009790548
223.c,16K,1536,.010294592
224.c,16K,1536,.010151595
225.c,16K,1536,.010323848
226.c,16K,1536,.010582559
227.c,16K,1536,.010273013
228.c,16K,1792,.011132496
229.c,16K,1536,.010222185
23.c,16K,1792,.010212467
230.c,16K,1536,.010681644
231.c,16K,1536,.010727190
232.c,16K,1536,.010866163
233.c,16K,1536,.010520107
234.c,16K,1536,.009897477
235.c,16K,1536,.010166936
236.c,16K,1536,.009937931
237.c,16K,1536,.009842226
238.c,16K,1536,.009937282
239.c,16K,1536,.010186308
24.c,16K,1792,.010199542
240.c,16K,1536,.009387409
241.c,16K,1536,.020620107
242.c,16K,1536,.010238619
243.c,16K,1536,.010188214
244.c,16K,1536,.009077581
245.c,16K,1536,.010164209
246.c,16K,1536,.011062232
247.c,16K,1536,.009844653
248.c,16K,1536,.010248271
249.c,16K,1536,.009847023
25.c,16K,1792,.010221543
250.c,16K,1536,.010193222
251.c,16K,1792,.014617070
252.c,16K,1536,.009670490
253.c,16K,1536,.009533993
254.c,16K,1536,.009250842
255.c,16K,1536,.010697143
256.c,16K,1536,.009338153
257.c,16K,1536,.009210914
258.c,16K,1536,.009023942
259.c,16K,1536,.010090981
26.c,16K,1792,.009889338
260.c,16K,1536,.009886261
261.c,16K,1536,.009723362
262.c,16K,1536,.009515645
263.c,16K,1536,.009183618
264.c,16K,1536,.009712258
265.c,16K,1536,.009605279
266.c,16K,1536,.017628081
267.c,16K,1536,.009736447
268.c,16K,1536,.009498176
269.c,16K,1536,.010083669
27.c,16K,1792,.011427390
270.c,16K,1536,.009244502
271.c,16K,1536,.009607708
272.c,16K,1536,.009784207
273.c,16K,1536,.009826234
274.c,16K,1536,.009969296
275.c,16K,1536,.011553844
276.c,16K,1536,.009914531
277.c,16K,1536,.009445973
278.c,16K,1536,.014284863
279.c,16K,1536,.019947490
28.c,16K,1792,.010261034
280.c,16K,1536,.009495870
281.c,16K,1536,.009520829
282.c,16K,1536,.010002476
283.c,16K,1536,.009746591
284.c,16K,1536,.009307901
285.c,16K,1536,.009999295
286.c,16K,1536,.009535022
287.c,16K,1536,.010394161
288.c,16K,1536,.013587230
289.c,16K,1536,.009654475
29.c,16K,1792,.009429445
290.c,16K,1536,.009749144
291.c,16K,1536,.009650012
292.c,16K,1536,.013915460
293.c,16K,1536,.010147849
294.c,16K,1536,.009607713
295.c,16K,1536,.009727592
296.c,16K,1536,.009374670
297.c,16K,1536,.009785690
298.c,16K,1536,.009846707
299.c,16K,1536,.009546832
3.c,16K,1664,.012087703
30.c,16K,1792,.009810335
300.c,16K,1536,.009964518
31.c,16K,1792,.009567660
32.c,16K,1792,.009881202
33.c,16K,1792,.010369091
34.c,16K,1792,.009558680
35.c,16K,1792,.010203771
36.c,16K,1664,.010348832
37.c,16K,1792,.009387541
38.c,16K,1792,.009754932
39.c,16K,1792,.010120238
4.c,16K,1792,.017084931
40.c,16K,1792,.009515565
41.c,16K,1792,.009899237
42.c,16K,1792,.010344157
43.c,16K,1792,.009290330
44.c,16K,1792,.009715805
45.c,16K,1792,.009258849
46.c,16K,1664,.009756051
47.c,16K,1792,.009676735
48.c,16K,1792,.009634545
49.c,16K,1792,.009066604
5.c,16K,1920,.016346311
50.c,16K,1792,.010037186
51.c,16K,1792,.009663337
52.c,16K,1792,.009957834
53.c,16K,1792,.009901622
54.c,16K,1920,.009987541
55.c,16K,1792,.010015614
56.c,16K,1792,.009774623
57.c,16K,1792,.009558807
58.c,16K,1792,.009718680
59.c,16K,1792,.010065483
6.c,16K,1920,.017380826
60.c,16K,1792,.010278356
61.c,16K,1792,.010111430
62.c,16K,1792,.010010408
63.c,16K,1792,.010460061
64.c,16K,1792,.010452126
65.c,17K,1792,.010331482
66.c,16K,1792,.010597719
67.c,16K,1792,.010219218
68.c,16K,1792,.010430179
69.c,16K,1792,.009682757
7.c,16K,1920,.018733653
70.c,16K,1792,.010906359
71.c,16K,1536,.009758496
72.c,16K,1792,.010700677
73.c,16K,1792,.010161271
74.c,16K,1792,.010050336
75.c,16K,1792,.009888233
76.c,16K,1792,.010601567
77.c,16K,1792,.010155895
78.c,16K,1792,.010266214
79.c,16K,1792,.010239861
8.c,16K,1792,.025300499
80.c,16K,1792,.010680705
81.c,16K,1536,.010609108
82.c,16K,1792,.010334342
83.c,16K,1792,.011051554
84.c,16K,1792,.010526345
85.c,16K,1536,.010410769
86.c,16K,1792,.010214505
87.c,16K,1792,.010543482
88.c,16K,1792,.010274477
89.c,16K,1536,.010708176
9.c,17K,1664,.018275378
90.c,16K,1792,.010864177
91.c,16K,1792,.010222681
92.c,16K,1792,.010476893
93.c,16K,1792,.010546139
94.c,16K,1792,.010547557
95.c,16K,1536,.010235560
96.c,16K,1792,.010870447
97.c,16K,1792,.010156404
98.c,16K,1792,.010255695
99.c,,,
