filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1408,.010031844
10.c,16K,1408,.013793177
100.c,16K,1280,.010512513
101.c,16K,1408,.010030677
102.c,16K,1408,.009999709
103.c,16K,1408,.010253094
104.c,16K,1408,.009703384
105.c,16K,1408,.010617679
106.c,16K,1280,.010131947
107.c,16K,1408,.009525144
108.c,16K,1408,.010334329
109.c,16K,1408,.010326830
11.c,16K,1408,.010137199
110.c,16K,1408,.010459985
111.c,16K,12800,1.455890725
112.c,16K,8960,.398790708
113.c,16K,5120,.812484130
114.c,16K,1152,.009627469
115.c,16K,1152,.010254563
116.c,16K,18816,.428684200
117.c,16K,1152,.010073010
118.c,16K,1152,.009585257
119.c,16K,1536,.016563255
12.c,16K,1408,.009786243
120.c,16K,1152,.009404271
121.c,16K,1152,.009983752
122.c,16K,1152,.010062205
123.c,16K,1152,.010099455
124.c,16K,1152,.009741584
125.c,16K,1152,.010091585
126.c,16K,1152,.009742003
127.c,16K,1152,.010450243
128.c,16K,1152,.010144518
129.c,16K,1152,.012886287
13.c,16K,1408,.010054105
130.c,17K,1280,.009725451
131.c,17K,1536,.010859309
132.c,16K,1536,.010030071
133.c,16K,1664,.010552700
134.c,16K,1408,2.533768828
135.c,16K,1152,.009422009
136.c,16K,8960,.020301040
137.c,16K,1152,.010122647
138.c,16K,1152,.010005889
139.c,16K,1152,.009817923
14.c,16K,1408,.010001508
140.c,16K,1152,.009867265
141.c,16K,1152,.010012828
142.c,16K,1152,.009921680
143.c,16K,1152,.010558147
144.c,16K,1152,.009764927
145.c,16K,1152,.009907820
146.c,16K,1152,.010525472
147.c,16K,1152,.009693694
148.c,16K,1280,.009802496
149.c,16K,1152,.010297216
15.c,16K,1408,.010295739
150.c,16K,1152,.010100554
151.c,16K,1408,.009034595
152.c,16K,1408,.009363074
153.c,16K,1536,.010356615
154.c,16K,1280,.009872703
155.c,16K,1152,.008558788
156.c,16K,1152,.008877033
157.c,16K,1408,.008572562
158.c,16K,1152,.009108843
159.c,16K,1280,.008679166
16.c,16K,1408,.009482515
160.c,16K,1152,.009091055
161.c,16K,1152,.204653190
162.c,16K,1280,.009295544
163.c,16K,1152,.008949706
164.c,16K,1536,.009233123
165.c,16K,1280,.008601559
166.c,16K,1280,.009680526
167.c,16K,1280,.010134811
168.c,16K,1280,.009735671
