filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1832,.001524327
10.c,16K,2072,.001354754
100.c,16K,1836,.001136334
101.c,16K,1972,.001089540
102.c,16K,2024,.001282556
103.c,16K,1984,.001141739
104.c,16K,1980,.001075283
105.c,16K,1912,.001180743
106.c,16K,1788,.001015766
107.c,16K,2064,.001126903
108.c,16K,1908,.001155411
109.c,16K,2004,.001208815
11.c,16K,1976,.001121488
110.c,16K,1964,.001112014
111.c,16K,13124,.841950223
112.c,16K,9332,.115124220
113.c,16K,5420,.494579434
114.c,16K,1716,.001144914
115.c,16K,1656,.001042076
116.c,16K,18976,.244630827
117.c,16K,1636,.001141852
118.c,16K,1700,.001093769
119.c,16K,2044,.003449741
12.c,16K,1964,.001081067
120.c,16K,1716,.001028945
121.c,16K,1648,.001130657
122.c,,,
123.c,16K,1700,.001143905
124.c,16K,1636,.001125879
125.c,16K,1716,.001097633
126.c,16K,1640,.001093017
127.c,16K,1640,.001271374
128.c,16K,1636,.001227737
129.c,16K,1644,.004624358
13.c,16K,1976,.001142116
130.c,17K,1804,.001040854
131.c,17K,2112,.001526045
132.c,16K,2072,.001224126
133.c,16K,2120,.001193384
134.c,16K,1936,.919358642
135.c,16K,9224,.003376464
136.c,16K,9140,.005042786
137.c,16K,1640,.001145330
138.c,16K,1580,.001102215
139.c,16K,1720,.001018406
14.c,16K,1976,.001095906
140.c,16K,1636,.001029728
141.c,16K,1720,.001170753
142.c,16K,1712,.001108177
143.c,16K,1628,.001298853
144.c,16K,1720,.001022871
145.c,16K,1632,.001116014
146.c,16K,1728,.001049508
147.c,16K,1624,.001134348
148.c,16K,1780,.001034217
149.c,16K,1708,.001026917
15.c,16K,2056,.001165016
150.c,16K,1572,.001056292
151.c,16K,2068,.001078740
152.c,16K,2064,.001065942
153.c,16K,2008,.001234343
154.c,16K,1768,.001124451
155.c,16K,1720,.001103683
156.c,16K,1720,.001199704
157.c,16K,2004,.001273161
158.c,16K,1776,.001676754
159.c,16K,1756,.001343165
16.c,16K,1936,.001354383
160.c,16K,1628,.001393014
161.c,16K,1572,.273192223
162.c,17K,1768,.001209417
163.c,16K,1628,.001220719
164.c,16K,1844,.001380644
165.c,16K,1784,.001372636
166.c,16K,1768,.001331462
167.c,16K,1776,.001257689
168.c,16K,1736,.001532351
169.c,17K,1704,.001311490
